,taxid,seasonality,curr,pnv,perc
10817,22705693, resident,1.21419E+11,1.79191E+11,0.677593022
10818,22705687, resident,46797024192,47450768576,0.986222681
10820,22705678, resident,2674904928,2933500224,0.911847528
10821,22705642, breeding,38943804104,58314482264,0.667823885
10822,22705669, resident,15599223120,24088145504,0.64758921
10823,22705257, resident,4477002587,6769263134,0.66137222
10824,103885731, breeding,2.66144E+12,2.97837E+12,0.89358931
10825,22705723, resident,3.56079E+11,4.4197E+11,0.805663596
10826,22733821, resident,2.88276E+11,5.49105E+11,0.52499151
10827,22705760, resident,1.65262E+11,1.89727E+11,0.871054176
10828,22708667, breeding,3.89197E+12,4.28687E+12,0.907880507
10829,22705663, resident,35027480160,56465696960,0.620332025
10830,22711332, breeding,1.48E+12,2.73689E+12,0.540760899
10831,22705742, resident,5.60972E+11,6.46792E+11,0.867314257
10834,22705254, breeding,92803518480,2.09034E+11,0.443963925
10835,22712143, resident,3.71132E+12,4.07046E+12,0.91176935
10836,22712567, breeding,3.64916E+12,3.81701E+12,0.956026171
10837,22712162, nonbreeding,8.04854E+12,9.95871E+12,0.808190427
10841,22705179, resident,12119083200,42205537088,0.28714439
10842,22705209, breeding,1.02359E+11,1.73683E+11,0.589340661
10843,22705153, resident,56472412544,65616436672,0.860644305
10844,22701106, resident,15768437888,30170483712,0.522644517
10845,22705240, breeding,1.62514E+12,2.10141E+12,0.773357274
10847,22701109, resident,82782332544,1.14845E+11,0.720819513
10849,22701620, resident,7933065660,11422219382,0.694529267
10850,22700904, resident,42333934016,97407825024,0.434605064
10851,22701103, resident,1.70055E+11,2.60761E+11,0.652149188
10852,22705228, breeding,4.09689E+11,5.10781E+11,0.802083226
10853,22705213, resident,2.59432E+11,3.03886E+11,0.85371508
10854,22701074, resident,1.28741E+11,3.29911E+11,0.390229965
10855,22700910, resident,80258758320,90281600576,0.888982448
10858,22705237, breeding,1.36291E+12,2.80038E+12,0.486686138
10859,22700877, resident,82200781312,1.21825E+11,0.674744667
10860,22700871, resident,1.38093E+11,2.87824E+11,0.479780795
10864,22700673, resident,1.92494E+11,3.18966E+11,0.603493754
10866,22712162, breeding,8.52605E+12,1.09786E+13,0.776609636
10867,22700859, resident,2.48138E+11,4.32145E+11,0.57420069
10869,22705188, breeding,1.66189E+12,2.85689E+12,0.581712736
10870,22705234, breeding,2.13733E+12,2.48421E+12,0.860363231
10871,22700500, breeding,1.09219E+12,1.42343E+12,0.767294408
10872,22700641, resident,84464473627,1.09827E+11,0.769069528
10873,22700494, nonbreeding,3.044E+11,3.348E+11,0.909199981
10874,22700638, resident,1.02764E+11,1.40885E+11,0.729415355
10878,22700664, resident,3.45534E+12,3.75782E+12,0.919506806
10880,22700494, breeding,3.80714E+11,4.58145E+11,0.830988569
10881,22700536, resident,1.38862E+11,1.9232E+11,0.722037896
10883,22700509, breeding,4.97991E+11,5.20423E+11,0.956894937
10885,22700925, resident,4.49027E+12,5.28591E+12,0.849479119
10887,22700461, resident,72349184256,91189588480,0.793393034
10888,103682304, nonbreeding,1.33306E+11,1.70633E+11,0.781245293
10889,103682304, breeding,1.33306E+11,1.70633E+11,0.781245293
10891,22700580, breeding,5.05023E+11,7.49847E+11,0.673500904
10892,22700497, breeding,3.08161E+12,3.88081E+12,0.794061823
10893,155115462, breeding,3.40476E+12,5.44159E+12,0.625691963
10894,22700491, breeding,1.1881E+12,1.34553E+12,0.883000054
10895,22700430, resident,2.10487E+11,3.29607E+11,0.63859839
10896,22712110, nonbreeding,1.26277E+13,1.28974E+13,0.979092466
10897,22712110, breeding,1.47234E+13,1.48034E+13,0.994594875
10898,22699877, resident,67586741814,1.04778E+11,0.645048775
10900,22700589, resident,2.95081E+12,3.20246E+12,0.921418369
10902,22699880, nonbreeding,2.49832E+11,4.51075E+11,0.553858506
10904,22699880, breeding,3.24677E+11,5.26992E+11,0.616093805
10905,22700427, breeding,1.58577E+12,2.32937E+12,0.680771561
10911,22699860, breeding,4.18546E+11,9.55664E+11,0.437962956
10912,22700599, resident,6.41079E+12,7.4387E+12,0.861816216
10913,22721657, breeding,8.49729E+12,9.90596E+12,0.857796056
10915,22700583, resident,5.1801E+12,5.9596E+12,0.869202172
10917,103884879, breeding,1.20045E+12,1.48715E+12,0.807211558
10918,22700692, resident,6.05796E+12,8.45523E+12,0.716475059
10919,22699851, breeding,52015145922,1.2749E+11,0.407995329
10923,22700318, resident,3.06861E+12,4.83685E+12,0.634424083
10924,22699864, breeding,1.18832E+12,2.06452E+12,0.575590355
10925,22700506, breeding,6.70975E+12,6.74294E+12,0.99507772
10926,22700433, breeding,2.42882E+12,3.94853E+12,0.615121701
10928,22699842, breeding,1.18624E+12,2.45919E+12,0.482368358
10930,22699587, resident,1.03106E+11,1.91083E+11,0.539588821
10931,22699886, breeding,2.76139E+12,4.25787E+12,0.648539125
10934,22699035, resident,2.59579E+11,3.82123E+11,0.679308209
10936,22699816, breeding,1.69806E+12,3.25851E+12,0.521114268
10937,22699544, resident,1.31405E+11,1.73856E+11,0.755824475
10938,22699584, resident,3.19014E+11,5.57814E+11,0.571899978
10939,22699574, resident,2.26744E+11,6.02553E+11,0.376305201
10941,22699848, breeding,1.13168E+12,1.98855E+12,0.569097488
10942,22699259, resident,15174215666,22322036336,0.679786353
10944,22699854, breeding,3.37246E+12,3.98436E+12,0.846426063
10945,22700354, resident,6.93612E+12,7.79795E+12,0.889480565
10946,22702378, resident,1.70087E+11,3.30615E+11,0.514457708
10947,22700533, nonbreeding,1.12733E+13,1.2934E+13,0.871603444
10948,22699298, resident,1.41449E+11,1.91006E+11,0.740547251
10950,22702719, resident,4338746944,5198375928,0.834635087
10951,22703026, resident,2.702E+11,4.71605E+11,0.572937274
10952,22702890, resident,11984819712,14526106848,0.825053804
10953,22699554, resident,2.41217E+11,3.03225E+11,0.795505259
10954,22699177, nonbreeding,7.10672E+11,9.29188E+11,0.764830899
10955,22702687, resident,62776927720,95875465232,0.65477573
10956,22702978, resident,2.18384E+11,3.9921E+11,0.547039639
10957,22702308, resident,2.75391E+11,3.85914E+11,0.713607291
10958,22702408, resident,48363070704,59844234224,0.808149212
10959,22699839, breeding,3.17522E+12,3.84809E+12,0.825141432
10960,22702814, resident,66041263187,1.06557E+11,0.619772651
10961,22699177, breeding,7.99661E+11,1.02261E+12,0.781978698
10963,22699726, resident,3.12184E+12,3.75562E+12,0.831246438
10964,22703191, resident,91643092768,1.21762E+11,0.752639133
10965,22702771, resident,99042024512,1.4302E+11,0.69250238
10966,22699845, breeding,4.34959E+11,7.0882E+11,0.613638395
10967,22699007, resident,9.64281E+11,1.55507E+12,0.620087368
10968,22702707, resident,2.19133E+11,2.91175E+11,0.752583634
10969,22700533, breeding,1.12733E+13,1.2934E+13,0.871603444
10970,22702786, resident,1.12248E+11,1.74635E+11,0.642759609
10971,22703020, resident,1.85973E+11,3.64773E+11,0.509831453
10973,22729055, resident,3.1357E+11,5.71688E+11,0.548499219
10975,22703206, resident,77488046528,93140163840,0.831950936
10976,22724093, resident,83424859223,1.09639E+11,0.760904011
10977,22703136, resident,3.98715E+11,6.30683E+11,0.632195966
10978,22724105, resident,68927131520,1.66809E+11,0.413210383
10979,22724081, resident,1.14679E+11,1.31133E+11,0.874524177
10980,22724004, resident,1.7835E+11,3.95824E+11,0.450578671
10981,22699892, breeding,1.11826E+12,1.64331E+12,0.680494537
10982,22724061, resident,1.02366E+11,1.18203E+11,0.866013361
10984,22703209, resident,1.50842E+11,1.69244E+11,0.891270474
10985,22731543, resident,1.91604E+11,3.76906E+11,0.508358485
10986,22731807, breeding,8805696656,25663156544,0.343126016
10987,22703152, resident,1.10743E+12,1.42283E+12,0.778330537
10988,22699194, resident,3.49849E+12,4.64288E+12,0.753516548
10992,22699182, nonbreeding,8.29958E+12,1.1234E+13,0.738788124
10994,22702732, resident,3.3455E+11,6.39106E+11,0.523466163
10995,22699811, breeding,1.99342E+12,2.28686E+12,0.871684784
10996,22722172, nonbreeding,387363336,396439144,0.97710668
10997,22736330, resident,1.80449E+12,1.996E+12,0.904052521
10998,22699182, breeding,8.29958E+12,1.1234E+13,0.738788124
10999,22722172, breeding,392757744,396439144,0.990713833
11000,22733589, resident,48414836809,61630406031,0.785567383
11001,22703095, resident,8.95172E+12,9.6423E+12,0.928379308
11002,22722167, resident,274495164,276704272,0.992016357
11003,22699605, resident,1.04434E+13,1.21233E+13,0.861429344
11004,103804301, resident,69551462832,87519024808,0.794701072
11007,22703010, resident,6.29821E+12,7.69203E+12,0.818796334
11010,22699027, resident,7.77168E+12,8.01096E+12,0.97013127
11012,22699892, nonbreeding,1.05507E+12,1.10998E+12,0.950532419
11014,22722203, resident,73291392208,87163541328,0.84084918
11015,22703185, resident,6.27735E+12,7.10151E+12,0.883945362
11016,22723982, resident,6.8173E+12,9.21995E+12,0.739407931
11017,22721194, nonbreeding,9.23882E+11,1.04928E+12,0.880493683
11019,103792683, resident,6.25998E+12,7.64612E+12,0.818713024
11020,22723831, resident,1.97579E+12,2.38556E+12,0.82823172
11022,22721398, resident,1.44588E+11,2.12453E+11,0.680563641
11023,22721194, breeding,1.25123E+12,1.71678E+12,0.728826451
11026,22721331, resident,8.23744E+11,1.15262E+12,0.71466853
11027,103776727, resident,11371777981,17855443017,0.636880192
11028,103776706, resident,3146151872,10419718000,0.301942132
11031,22734705, breeding,3.78316E+11,1.09341E+12,0.345997088
11033,22724358, resident,8.115E+12,9.76972E+12,0.830628065
11036,22721070, breeding,4.20042E+11,6.99349E+11,0.600617619
11037,22721288, resident,8.07978E+11,8.64336E+11,0.934795828
11042,103780258, breeding,1.70417E+11,1.80774E+11,0.942707481
11043,103817300, resident,2.37202E+11,2.53722E+11,0.934886291
11045,22722513, resident,1.24422E+11,2.02106E+11,0.615627997
11046,22722494, resident,1.61329E+11,2.56113E+11,0.629912771
11047,22721159, breeding,3.34121E+12,3.79553E+12,0.880301511
11048,103812680, resident,4.23076E+11,6.70889E+11,0.630620088
11050,22723636, resident,1.29166E+11,1.51387E+11,0.853215683
11051,22722845, resident,25807214416,28759450416,0.897347273
11052,22722851, resident,26397419759,33843096666,0.779994219
11055,22722543, resident,3.07782E+11,5.98252E+11,0.51446957
11057,22721686, breeding,32081140805,35683497138,0.899046993
11058,22721144, breeding,1.40785E+12,1.62678E+12,0.865417372
11060,22722918, resident,3.29248E+11,4.55556E+11,0.722740059
11061,22721097, nonbreeding,22480027469,53052251363,0.423733713
11063,103811627, nonbreeding,5.09324E+11,5.53029E+11,0.920970915
11065,103772680, nonbreeding,1.58124E+12,1.8037E+12,0.876662699
11066,22724793, breeding,8.55411E+11,1.85888E+12,0.46017451
11067,103772680, breeding,1.45924E+12,2.79206E+12,0.522637722
11069,103811627, breeding,5.47536E+11,5.77573E+11,0.947994533
11073,22721673, breeding,8.95017E+11,1.10091E+12,0.812981205
11075,22722016, resident,6.19129E+11,7.71538E+11,0.802460733
11082,22711023, resident,44829865692,64171289792,0.698596925
11084,22721689, breeding,2.44333E+12,2.98973E+12,0.817240793
11087,155183424, resident,40017400082,72567169207,0.551453233
11088,103801509, resident,2.87166E+11,4.81932E+11,0.595863419
11089,22711111, resident,86702723328,87234711808,0.993901642
11090,22721731, breeding,3.07008E+12,3.24841E+12,0.945101048
11091,22722057, breeding,2.00152E+12,3.51042E+12,0.570165961
11095,22721734, breeding,1.64353E+12,1.72465E+12,0.952964954
11097,22711020, resident,3.07677E+11,4.20181E+11,0.732247885
11099,22721639, breeding,1.81703E+12,3.02481E+12,0.600706964
11101,22708643, resident,88343133848,1.12005E+11,0.788744936
11103,22711597, resident,73381327400,1.49398E+11,0.491179331
11105,22711594, resident,72523633152,76932302336,0.942694173
11106,22711585, resident,75000571904,84523847296,0.887330313
11109,22708914, resident,7.71282E+11,9.44181E+11,0.816878826
11110,22711290, resident,37404278656,42409788544,0.881972769
11111,22711518, resident,2.0354E+11,3.66003E+11,0.556114473
11112,22711441, resident,45658670792,88524878400,0.515772194
11113,22721830, breeding,9.32527E+11,1.49979E+12,0.62177242
11114,22711296, resident,1709513152,5816166848,0.293924366
11115,22711401, resident,1.328E+11,2.28597E+11,0.580934312
11116,103887340, resident,1144271040,7546356480,0.151632254
11117,22711284, resident,1.6165E+11,2.27784E+11,0.709663934
11118,22708938, resident,3.42838E+11,4.9172E+11,0.697221507
11119,103881682, breeding,3.72142E+11,4.3487E+11,0.855754614
11121,22711419, resident,1.65783E+11,1.77255E+11,0.935278356
11122,22721162, breeding,9.48264E+12,1.17248E+13,0.80877031
11124,22711422, resident,2.74468E+11,5.33041E+11,0.514910564
